ctry,area_code,income,employ,original_imd_score,original_imd_quintile,uk_imd_england_score,uk_imd_england_quintile,uk_imd_ni_score,uk_imd_ni_quintile,uk_imd_scotland_score,uk_imd_scotland_quintile,uk_imd_wales_score,uk_imd_wales_quintile
England,E01015142,14.1,12.4,22,4,22,3,13.3,4,21.6,4,18.1,3
England,E01015143,18.2,15.9,30.9,4,30.9,4,20.9,4,30.3,4,27.1,4
England,E01015144,26.4,23.7,45.9,5 - most deprived,45.9,5 - most deprived,34.1,5 - most deprived,45.5,5 - most deprived,42.2,5 - most deprived
England,E01015145,47.9,28.7,65.2,5 - most deprived,65.2,5 - most deprived,49.1,5 - most deprived,64.2,5 - most deprived,62.5,5 - most deprived
England,E01015146,33.7,23.8,51.6,5 - most deprived,51.6,5 - most deprived,38.1,5 - most deprived,50.6,5 - most deprived,48.3,5 - most deprived
England,E01015147,11.3,13,22.6,4,22.6,4,14.1,4,22.1,4,18.5,4
England,E01015148,18.8,15.2,33.8,4,33.8,4,22.9,4,32.5,4,30,4
England,E01015149,36.3,30,55.8,5 - most deprived,55.8,5 - most deprived,42.8,5 - most deprived,56.1,5 - most deprived,52.5,5 - most deprived
England,E01015150,18.2,18.4,29.5,4,29.5,4,20.5,4,29.8,4,25.6,4
England,E01015151,27.9,24.9,52.2,5 - most deprived,52.2,5 - most deprived,39.2,5 - most deprived,51.2,5 - most deprived,48.5,5 - most deprived
England,E01015152,40.9,31.9,67.3,5 - most deprived,67.3,5 - most deprived,52,5 - most deprived,66.5,5 - most deprived,64.1,5 - most deprived
England,E01015153,38,33.4,62,5 - most deprived,62,5 - most deprived,48.4,5 - most deprived,62.4,5 - most deprived,58.6,5 - most deprived
England,E01015155,46.6,42.3,73.6,5 - most deprived,73.6,5 - most deprived,59.3,5 - most deprived,75.1,5 - most deprived,70.4,5 - most deprived
England,E01015156,25,21.1,43.6,5 - most deprived,43.6,5 - most deprived,31.7,5 - most deprived,42.7,5 - most deprived,39.9,5 - most deprived
England,E01015157,21.8,19.2,36.5,5 - most deprived,36.5,5 - most deprived,25.9,5 - most deprived,36.1,5 - most deprived,32.8,5 - most deprived
England,E01015158,19.5,17,39.1,5 - most deprived,39.1,5 - most deprived,27.4,5 - most deprived,37.4,5 - most deprived,35.2,5 - most deprived
England,E01015159,19.5,18,31.2,4,31.2,4,21.6,4,31.2,4,27.4,4
England,E01015160,5,7.5,7,1 - least deprived,7,1 - least deprived,1,1 - least deprived,7.2,1 - least deprived,2.9,1 - least deprived
England,E01015161,17.3,15.1,28.2,4,28.2,4,18.6,4,27.7,4,24.3,4
England,E01015162,22.2,18.7,33.1,4,33.1,4,23.1,4,33.2,4,29.5,4
England,E01015163,13.8,12.4,20.1,3,20.1,3,11.9,3,20,3,16.2,3
England,E01015164,9.5,10.9,18,3,18,3,10.1,3,17.6,3,13.9,3
England,E01015165,10.3,7,11,2,11,2,3.6,2,10.6,2,7.1,2
England,E01015166,21.6,18.8,31.8,4,31.8,4,22.2,4,32.1,4,28.2,4
England,E01015167,18.7,15.5,28.7,4,28.7,4,19.1,4,28.4,4,25,4
England,E01015168,20.1,19.3,33.8,4,33.8,4,23.9,5 - most deprived,33.8,4,30,4
England,E01015169,11.5,9,22.3,4,22.3,4,12.8,3,20.7,3,18.3,4
England,E01015170,25.8,22.5,36.5,5 - most deprived,36.5,5 - most deprived,26.6,5 - most deprived,37.3,5 - most deprived,32.9,5 - most deprived
England,E01015171,18.9,17.5,34.9,5 - most deprived,34.9,5 - most deprived,24.3,5 - most deprived,34.1,5 - most deprived,31,5 - most deprived
England,E01015172,16.8,16.9,30.1,4,30.1,4,20.7,4,29.8,4,26.2,4
England,E01015173,12.6,11.3,23.7,4,23.7,4,14.4,4,22.6,4,19.7,4
England,E01015174,12.4,11,19,3,19,3,10.8,3,18.6,3,15.1,3
England,E01015175,15.4,13.1,24,4,24,4,15,4,23.6,4,20.2,4
England,E01015176,24.6,20.6,36.5,5 - most deprived,36.5,5 - most deprived,26.1,5 - most deprived,36.7,5 - most deprived,32.9,5 - most deprived
England,E01015177,13,10.2,21.5,4,21.5,3,12.4,3,20.5,3,17.6,3
England,E01015178,12.2,9.9,22.4,4,22.4,4,13.1,3,21.1,3,18.5,4
England,E01015179,9.7,8.2,21,3,21,3,11.7,3,19.3,3,17,3
England,E01015180,28.7,24.3,52,5 - most deprived,52,5 - most deprived,38.8,5 - most deprived,50.9,5 - most deprived,48.4,5 - most deprived
England,E01015181,22.5,16.5,38.3,5 - most deprived,38.3,5 - most deprived,26.5,5 - most deprived,36.8,5 - most deprived,34.7,5 - most deprived
England,E01015182,27.6,19.7,46.1,5 - most deprived,46.1,5 - most deprived,33,5 - most deprived,44.5,5 - most deprived,42.6,5 - most deprived
England,E01015183,17.2,15.2,24.9,4,24.9,4,16.2,4,25,4,21.1,4
England,E01015184,10.3,13.4,14.7,3,14.7,3,8.2,3,15.7,3,10.7,3
England,E01015185,18.3,15.4,26.5,4,26.5,4,17.4,4,26.5,4,22.8,4
England,E01015186,25.1,23.3,41.3,5 - most deprived,41.3,5 - most deprived,30.5,5 - most deprived,41.4,5 - most deprived,37.6,5 - most deprived
England,E01015187,11.1,8.5,14,3,14,2,6.3,2,13.6,2,10.1,2
England,E01015188,16.2,12.6,19.9,3,19.9,3,11.7,3,20,3,16.2,3
England,E01015189,19.7,15.2,27.6,4,27.6,4,18.1,4,27.4,4,23.9,4
England,E01015190,20.9,22.8,37.8,5 - most deprived,37.8,5 - most deprived,28,5 - most deprived,38.2,5 - most deprived,33.9,5 - most deprived
England,E01015191,15.2,11.4,17.4,3,17.4,3,9.5,3,17.6,3,13.7,3
England,E01015192,30.7,21.5,38.2,5 - most deprived,38.2,5 - most deprived,27.3,5 - most deprived,38.7,5 - most deprived,35,5 - most deprived
England,E01015193,16.1,16.1,27.6,4,27.6,4,18.5,4,27.4,4,23.6,4
England,E01015194,23.7,21.3,36.9,5 - most deprived,36.9,5 - most deprived,26.7,5 - most deprived,37.1,5 - most deprived,33.2,5 - most deprived
England,E01015195,23,17.4,30.4,4,30.4,4,20.7,4,30.6,4,26.9,4
England,E01015196,37.1,30.7,56.2,5 - most deprived,56.2,5 - most deprived,43.3,5 - most deprived,56.7,5 - most deprived,52.9,5 - most deprived
England,E01015197,6.6,7.6,7,1 - least deprived,7,1 - least deprived,0.9,1 - least deprived,7.3,1 - least deprived,2.9,1 - least deprived
England,E01015198,8.6,10.3,12.4,2,12.4,2,5.7,2,12.7,2,8.3,2
England,E01015199,4.8,7,7.4,1 - least deprived,7.4,1 - least deprived,1.2,1 - least deprived,7.4,1 - least deprived,3.3,1 - least deprived
England,E01015200,14.3,11.1,16.5,3,16.5,3,8.7,3,16.6,3,12.7,3
England,E01015201,10.7,9.6,11.5,2,11.5,2,4.7,2,11.8,2,7.6,2
England,E01015202,13.5,11.5,18.1,3,18.1,3,10.1,3,18,3,14.2,3
England,E01015203,8.5,9.3,12.3,2,12.3,2,5.4,2,12.3,2,8.3,2
England,E01015204,17.7,15.1,27.1,4,27.1,4,17.8,4,26.8,4,23.3,4
England,E01015205,14.2,12.5,20.1,3,20.1,3,11.9,3,20.1,3,16.3,3
England,E01015206,19.3,16.5,31.8,4,31.8,4,21.7,4,31.2,4,28,4
England,E01015207,11.8,10.5,16.7,3,16.7,3,8.9,3,16.5,3,12.8,3
England,E01015208,4.6,6.6,5.9,1 - least deprived,5.9,1 - least deprived,-0,1 - least deprived,6,1 - least deprived,1.8,1 - least deprived
England,E01015209,17.8,17.8,30,4,30,4,20.8,4,30.1,4,26.2,4
England,E01015210,30.3,23,38.5,5 - most deprived,38.5,5 - most deprived,28,5 - most deprived,39.4,5 - most deprived,35.2,5 - most deprived
